movement_id,timestamp,week_id,movement_type,from_location,to_location,source_stock_id,target_stock_id,sabor,cantidad_latas,peso_bruto_kg,tara_kg,peso_neto_kg,notes
MOV_62682b452886,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,p,1,8.605,0.38,8.225,
MOV_5f61cf4a6639,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,q,1,8.3,0.38,7.920000000000001,
MOV_8c54555c28b2,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,r,1,5.93,0.38,5.55,
MOV_f8e56ceb0407,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,s,1,2.98,0.38,2.6,
MOV_6d90b62802b5,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,t,1,5.585,0.38,5.205,
MOV_6e83f3e8f612,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,u,1,6.36,0.38,5.98,
MOV_d82edb32796d,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,v,1,7.325,0.38,6.945,
MOV_7aa854ca4974,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,w,1,1.56,0.38,1.1800000000000002,
MOV_4cedd151ad0d,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,y,1,2.155,0.38,1.775,
MOV_3f7a5e37bddc,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,z,1,2.52,0.38,2.14,
MOV_2b438b2a69cd,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,aa,1,3.44,0.38,3.06,
MOV_e335e17372bf,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,bb,1,1.93,0.38,1.5499999999999998,
MOV_5935821fbfe4,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,cc,1,5.32,0.38,4.94,
MOV_09f3fe46fa4b,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,dd,1,6.875,0.38,6.495,
MOV_288544843b0b,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,ee,1,2.99,0.38,2.6100000000000003,
MOV_db1c35c5a9d2,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,hh,1,7.095,0.38,6.715,
MOV_c402f9f0f592,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,ii,1,9.38,0.38,9.0,
MOV_be03de00a86d,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,jj,1,5.835,0.38,5.455,
MOV_e1783626ffa7,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,kk,1,2.615,0.38,2.2350000000000003,
MOV_3a80cebcd37f,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,ll,1,2.46,0.38,2.08,
MOV_fc0e0e1108ea,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,mm,1,12.99,0.38,12.61,
