count_id,week_id,count_type,timestamp,location,stock_id,sabor,estado,peso_bruto_kg,tara_kg,peso_neto_kg,notes
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0053,z,ABIERTA,2.52,0.38,2.14,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0054,aa,ABIERTA,3.44,0.38,3.06,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0055,bb,ABIERTA,1.93,0.38,1.5499999999999998,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0056,cc,ABIERTA,5.32,0.38,4.94,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0057,dd,ABIERTA,6.875,0.38,6.495,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0058,ee,ABIERTA,2.99,0.38,2.6100000000000003,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0059,hh,ABIERTA,7.095,0.38,6.715,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0060,ii,ABIERTA,9.38,0.38,9.0,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0061,jj,ABIERTA,5.835,0.38,5.455,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0062,kk,ABIERTA,2.615,0.38,2.2350000000000003,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0063,ll,ABIERTA,2.46,0.38,2.08,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0064,mm,ABIERTA,12.99,0.38,12.61,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000029,MARACUYA_AL_AGUA,ABIERTA,5.8,0.38,5.42,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000054,MANGO_AL_AGUA,ABIERTA,7.2,0.38,6.82,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000030,LIMON_AL_AGUA,ABIERTA,4.52,0.38,4.14,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000055,FRUTOS_ROJOS_AL_AGUA,ABIERTA,6.85,0.38,6.47,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000031,FRUTILLA_AL_AGUA,ABIERTA,7.95,0.38,7.57,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000056,DURAZNO_A_LA_CREMA,ABIERTA,4.075,0.38,3.695,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000032,FRUTILLA_A_LA_CREMA,ABIERTA,6.575,0.38,6.195,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000057,BANANA,ABIERTA,6.27,0.38,5.89,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000033,TRAMONTANA,ABIERTA,3.1,0.38,2.72,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000058,GRANIZADO,ABIERTA,6.91,0.38,6.53,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000034,CREMA_COOKIE,ABIERTA,6.095,0.38,5.715,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000035,AMERICANA,ABIERTA,5.93,0.38,5.55,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000036,DULCE_DE_LECHE_BROWNIE,ABIERTA,3.94,0.38,3.56,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000059,MASCARPONE,ABIERTA,0.66,0.38,0.28,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000037,SUPER_DULCE_DE_LECHE,ABIERTA,5.29,0.38,4.91,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000060,DULCE_DE_LECHE_CON_NUEZ,ABIERTA,6.375,0.38,5.995,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000038,DULCE_DE_LECHE_GRANIZADO,ABIERTA,7.33,0.38,6.95,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000061,DULCE_DE_LECHE,ABIERTA,6.925,0.38,6.545,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000039,MENTA_GRANIZADO,ABIERTA,7.385,0.38,7.005,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000062,CEREZA,ABIERTA,3.275,0.38,2.895,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000040,SUPER_GRIDITO,ABIERTA,8.16,0.38,7.78,
