stock_id,sabor,estado,source_camera_stock_id,ingresada_salon_at,kg_referencia_lata,peso_inicial_bruto_kg,tara_inicial_kg,peso_inicial_neto_kg,opened_at,opened_operation_id,peso_actual_bruto_kg,tara_actual_kg,peso_actual_neto_kg,finished_at,peso_final_bruto_kg,tara_final_kg,residuo_final_kg,finished_operation_id,created_at,updated_at,active
SAL-000069,BANANA,ABIERTA,,,8.07,8.07,0.38,7.69,2026-08-23T14:25:31.870099-03:00,RECAMBIO-000009,6.165,0.378,5.787,,,,,,2026-08-23T13:44:09.250339-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000070,ANANA,CERRADA,,,7.795,7.795,0.38,7.415,,,7.795,0.378,7.417,,,,,,2026-08-23T13:44:09.250339-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000071,CHOCOLATE_DUBAI,CERRADA,CAM-DUB-000001,2026-08-23T14:03:27.877904-03:00,7.8,8.165,0.38,7.785,,,8.165,0.378,7.787,,,,,,2026-08-23T14:03:27.877904-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000072,FLAN,ABIERTA,CAM-FLN-000001,2026-08-23T14:08:22.423520-03:00,7.8,7.945,0.38,7.565,2026-08-23T14:08:22.423520-03:00,RECAMBIO-000004,5.47,0.378,5.092,,,,,,2026-08-23T14:08:22.423520-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000073,CHOCOLATE_BLANCO_OREO,CERRADA,CAM-CBO-000001,2026-08-23T14:13:52.505637-03:00,7.8,8.08,0.38,7.7,,,8.08,0.378,7.702,,,,,,2026-08-23T14:13:52.505637-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000074,CHOCOLATE_CON_ALMENDRAS,CERRADA,CAM-ALM-000001,2026-08-23T14:17:29.527810-03:00,7.8,7.86,0.38,7.48,,,7.86,0.378,7.482,,,,,,2026-08-23T14:17:29.527810-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000075,QUINOTO,CERRADA,CAM-QUI-000001,2026-08-23T14:22:05.041607-03:00,7.8,7.78,0.38,7.4,,,7.78,0.378,7.402,,,,,,2026-08-23T14:22:05.041607-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000076,TRAMONTANA,CERRADA,CAM-TRA-000001,2026-08-23T14:23:59.988357-03:00,7.8,8.085,0.38,7.705,,,8.085,0.378,7.707,,,,,,2026-08-23T14:23:59.988357-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000077,BANANA,CERRADA,CAM-BAN-000001,2026-08-23T14:25:31.870099-03:00,7.58,8.07,0.38,7.69,,,8.07,0.378,7.692,,,,,,2026-08-23T14:25:31.870099-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000078,FRUTILLA_A_LA_CREMA,CERRADA,CAM-FAC-000001,2026-08-23T14:29:17.187612-03:00,7.8,8.625,0.38,8.245,,,8.625,0.378,8.247,,,,,,2026-08-23T14:29:17.187612-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000079,SAMBAYON,ABIERTA,CAM-SAM-000001,2026-08-23T16:33:32.488392-03:00,7.8,7.94,0.38,7.56,2026-08-23T16:33:32.488392-03:00,RECAMBIO-000011,8.525,0.378,8.147,,,,,,2026-08-23T16:33:32.488392-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000080,SUPER_DULCE_DE_LECHE,CERRADA,CAM-SDL-000001,2026-08-23T17:16:18.888235-03:00,7.8,8.14,0.38,7.76,,,8.14,0.378,7.762,,,,,,2026-08-23T17:16:18.888235-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000081,DULCE_DE_LECHE_GRANIZADO,CERRADA,CAM-DLG-000001,2026-08-23T17:25:29.352689-03:00,7.8,7.885,0.38,7.505,,,7.885,0.378,7.507,,,,,,2026-08-23T17:25:29.352689-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000082,CAPUCCINO_GRANIZADO,CERRADA,CAM-CAP-000001,2026-08-24T22:28:28.724322-03:00,7.8,8.235,0.38,7.855,,,8.235,0.378,7.857,,,,,,2026-08-24T22:28:28.724322-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000083,DULCE_DE_LECHE_BROWNIE,CERRADA,CAM-BRW-000001,2026-08-24T22:31:23.176769-03:00,7.8,8.04,0.38,7.66,,,8.04,0.378,7.662,,,,,,2026-08-24T22:31:23.176769-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000084,CHOCOLATE,CERRADA,CAM-CHO-000002,2026-08-24T22:32:28.437203-03:00,7.8,8.03,0.38,7.65,,,8.03,0.378,7.652,,,,,,2026-08-24T22:32:28.437203-03:00,2026-08-26T19:01:39.978354-03:00,True
