camera_stock_id,sabor,estado,kg_referencia_lata,ingresada_camera_at,moved_to_salon_at,target_salon_stock_id,legacy_batch_id,created_at,updated_at,active
CAM-FAA-000002,FRUTILLA_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:02:31.229493-03:00,,,,2026-08-14T20:02:31.229493-03:00,2026-08-14T20:02:31.229493-03:00,True
CAM-FAA-000003,FRUTILLA_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:02:31.229493-03:00,,,,2026-08-14T20:02:31.229493-03:00,2026-08-14T20:02:31.229493-03:00,True
CAM-FRO-000001,FRUTOS_ROJOS_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:03:23.385150-03:00,,,,2026-08-14T20:03:23.385150-03:00,2026-08-14T20:03:23.385150-03:00,True
CAM-FRO-000002,FRUTOS_ROJOS_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:03:23.385150-03:00,,,,2026-08-14T20:03:23.385150-03:00,2026-08-14T20:03:23.385150-03:00,True
CAM-FRO-000003,FRUTOS_ROJOS_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:03:23.385150-03:00,,,,2026-08-14T20:03:23.385150-03:00,2026-08-14T20:03:23.385150-03:00,True
CAM-FRO-000004,FRUTOS_ROJOS_AL_AGUA,ANULADA,7.8,2026-08-14T20:03:23.385150-03:00,,,,2026-08-14T20:03:23.385150-03:00,2026-08-17T21:24:43.456014-03:00,False
CAM-LIM-000001,LIMON_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:04:21.875084-03:00,,,,2026-08-14T20:04:21.875084-03:00,2026-08-14T20:04:21.875084-03:00,True
CAM-LIM-000002,LIMON_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:04:21.875084-03:00,,,,2026-08-14T20:04:21.875084-03:00,2026-08-14T20:04:21.875084-03:00,True
CAM-LIM-000003,LIMON_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:04:21.875084-03:00,,,,2026-08-14T20:04:21.875084-03:00,2026-08-14T20:04:21.875084-03:00,True
CAM-LIM-000004,LIMON_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:04:21.875084-03:00,,,,2026-08-14T20:04:21.875084-03:00,2026-08-14T20:04:21.875084-03:00,True
CAM-LIM-000005,LIMON_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:04:21.875084-03:00,,,,2026-08-14T20:04:21.875084-03:00,2026-08-14T20:04:21.875084-03:00,True
CAM-LIM-000006,LIMON_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:04:21.875084-03:00,,,,2026-08-14T20:04:21.875084-03:00,2026-08-14T20:04:21.875084-03:00,True
CAM-MRY-000001,MARACUYA_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:07:59.834839-03:00,,,,2026-08-14T20:07:59.834839-03:00,2026-08-14T20:07:59.834839-03:00,True
CAM-MRY-000002,MARACUYA_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:07:59.834839-03:00,,,,2026-08-14T20:07:59.834839-03:00,2026-08-14T20:07:59.834839-03:00,True
CAM-MRY-000003,MARACUYA_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:07:59.834839-03:00,,,,2026-08-14T20:07:59.834839-03:00,2026-08-14T20:07:59.834839-03:00,True
CAM-MRY-000004,MARACUYA_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:07:59.834839-03:00,,,,2026-08-14T20:07:59.834839-03:00,2026-08-14T20:07:59.834839-03:00,True
CAM-NAR-000001,NARANJA_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:08:20.924574-03:00,,,,2026-08-14T20:08:20.924574-03:00,2026-08-14T20:08:20.924574-03:00,True
CAM-MAN-000001,MANGO_AL_AGUA,DISPONIBLE,7.58,2026-08-14T20:26:00.122678-03:00,,,,2026-08-14T20:26:00.122678-03:00,2026-08-14T20:26:00.122678-03:00,True
CAM-MAN-000002,MANGO_AL_AGUA,DISPONIBLE,7.58,2026-08-14T20:26:00.122678-03:00,,,,2026-08-14T20:26:00.122678-03:00,2026-08-14T20:26:00.122678-03:00,True
CAM-MAN-000003,MANGO_AL_AGUA,DISPONIBLE,7.58,2026-08-14T20:26:00.122678-03:00,,,,2026-08-14T20:26:00.122678-03:00,2026-08-14T20:26:00.122678-03:00,True
CAM-CBL-000001,CHOCOLATE_BLANCO,DISPONIBLE,7.8,2026-08-14T20:39:02.681327-03:00,,,,2026-08-14T20:39:02.681327-03:00,2026-08-14T20:39:02.681327-03:00,True
CAM-CBL-000002,CHOCOLATE_BLANCO,DISPONIBLE,7.8,2026-08-14T20:39:02.681327-03:00,,,,2026-08-14T20:39:02.681327-03:00,2026-08-14T20:39:02.681327-03:00,True
CAM-CBL-000003,CHOCOLATE_BLANCO,DISPONIBLE,7.8,2026-08-14T20:39:02.681327-03:00,,,,2026-08-14T20:39:02.681327-03:00,2026-08-14T20:39:02.681327-03:00,True
CAM-CBL-000004,CHOCOLATE_BLANCO,ANULADA,7.8,2026-08-14T20:39:02.681327-03:00,,,,2026-08-14T20:39:02.681327-03:00,2026-08-17T21:24:43.456014-03:00,False
CAM-CMC-000001,CHOCOLATE_MANI_CRUNCH,DISPONIBLE,7.8,2026-08-14T20:39:30.074017-03:00,,,,2026-08-14T20:39:30.074017-03:00,2026-08-14T20:39:30.074017-03:00,True
CAM-CSU-000001,CHOCOLATE_SUIZO,DISPONIBLE,7.8,2026-08-14T20:41:10.925970-03:00,,,,2026-08-14T20:41:10.925970-03:00,2026-08-14T20:41:10.925970-03:00,True
CAM-CSU-000002,CHOCOLATE_SUIZO,DISPONIBLE,7.8,2026-08-14T20:41:10.925970-03:00,,,,2026-08-14T20:41:10.925970-03:00,2026-08-14T20:41:10.925970-03:00,True
CAM-CSU-000003,CHOCOLATE_SUIZO,DISPONIBLE,7.8,2026-08-14T20:41:10.925970-03:00,,,,2026-08-14T20:41:10.925970-03:00,2026-08-14T20:41:10.925970-03:00,True
CAM-CSU-000004,CHOCOLATE_SUIZO,ANULADA,7.8,2026-08-14T20:41:10.925970-03:00,,,,2026-08-14T20:41:10.925970-03:00,2026-08-17T21:24:43.456014-03:00,False
CAM-CHO-000001,CHOCOLATE,MOVIDA_SALON,7.8,2026-08-14T20:43:54.916143-03:00,2026-08-19T00:54:50.339120-03:00,SAL-000066,,2026-08-14T20:43:54.916143-03:00,2026-08-19T00:54:50.339120-03:00,False
CAM-CHO-000002,CHOCOLATE,DISPONIBLE,7.8,2026-08-14T20:43:54.916143-03:00,,,,2026-08-14T20:43:54.916143-03:00,2026-08-14T20:43:54.916143-03:00,True
CAM-CHO-000003,CHOCOLATE,DISPONIBLE,7.8,2026-08-14T20:43:54.916143-03:00,,,,2026-08-14T20:43:54.916143-03:00,2026-08-14T20:43:54.916143-03:00,True
CAM-CHO-000004,CHOCOLATE,DISPONIBLE,7.8,2026-08-14T20:43:54.916143-03:00,,,,2026-08-14T20:43:54.916143-03:00,2026-08-14T20:43:54.916143-03:00,True
CAM-CHO-000005,CHOCOLATE,DISPONIBLE,7.8,2026-08-14T20:43:54.916143-03:00,,,,2026-08-14T20:43:54.916143-03:00,2026-08-14T20:43:54.916143-03:00,True
CAM-ALM-000001,CHOCOLATE_CON_ALMENDRAS,MOVIDA_SALON,7.8,2026-08-14T20:44:12.864649-03:00,2026-08-23T14:17:29.527810-03:00,SAL-000074,,2026-08-14T20:44:12.864649-03:00,2026-08-23T14:17:29.527810-03:00,False
CAM-ALM-000002,CHOCOLATE_CON_ALMENDRAS,DISPONIBLE,7.8,2026-08-14T20:44:12.864649-03:00,,,,2026-08-14T20:44:12.864649-03:00,2026-08-14T20:44:12.864649-03:00,True
CAM-ALM-000003,CHOCOLATE_CON_ALMENDRAS,DISPONIBLE,7.8,2026-08-14T20:44:12.864649-03:00,,,,2026-08-14T20:44:12.864649-03:00,2026-08-14T20:44:12.864649-03:00,True
CAM-ALM-000004,CHOCOLATE_CON_ALMENDRAS,DISPONIBLE,7.8,2026-08-14T20:44:12.864649-03:00,,,,2026-08-14T20:44:12.864649-03:00,2026-08-14T20:44:12.864649-03:00,True
CAM-ALM-000005,CHOCOLATE_CON_ALMENDRAS,DISPONIBLE,7.8,2026-08-14T20:44:12.864649-03:00,,,,2026-08-14T20:44:12.864649-03:00,2026-08-14T20:44:12.864649-03:00,True
CAM-ALM-000006,CHOCOLATE_CON_ALMENDRAS,DISPONIBLE,7.8,2026-08-14T20:44:12.864649-03:00,,,,2026-08-14T20:44:12.864649-03:00,2026-08-14T20:44:12.864649-03:00,True
CAM-ALM-000007,CHOCOLATE_CON_ALMENDRAS,ANULADA,7.8,2026-08-14T20:44:12.864649-03:00,,,,2026-08-14T20:44:12.864649-03:00,2026-08-17T21:24:43.456014-03:00,False
CAM-ALM-000008,CHOCOLATE_CON_ALMENDRAS,ANULADA,7.8,2026-08-14T20:45:03.780047-03:00,,,,2026-08-14T20:45:03.780047-03:00,2026-08-14T20:46:09.965029-03:00,False
CAM-ALM-000009,CHOCOLATE_CON_ALMENDRAS,ANULADA,7.8,2026-08-14T20:45:03.780047-03:00,,,,2026-08-14T20:45:03.780047-03:00,2026-08-14T20:46:09.965029-03:00,False
